,Average Daily Returns,Beta Alpha,Sharpe Ratio,Piotroski F-Score,Revenue Growth,Earning per Share,Price to Earning,Debt to Equity,Free Cash Flow,Return on Equity,Dividend Yield
AALI.JK,-2.992250227229979e-05,"{'beta': array([0.035]), 'alpha': array([-0.])}",-0.03,,-22.67492030276398,432.8437198839821,15.363512728756795,0.2135743776992211,,4.442555984422978,134.70336840601504
ABBA.JK,0.001393156250978238,"{'beta': array([-0.047]), 'alpha': array([0.001])}",0.45,,-6.034068612093069,-11.406882837566759,-4.558651188100771,-20.456808251051843,,458.9519356490645,0.0
ABDA.JK,8.110466255270641e-05,"{'beta': array([-0.006]), 'alpha': array([0.])}",0.07,,15.041350757227455,3906.9744951036932,1.279762641467486,0.0,,9.963071487005408,21.98679856
ABMM.JK,0.001542013887819069,"{'beta': array([0.138]), 'alpha': array([0.001])}",0.73,,-40.65682896337879,-0.012952134461791592,-286439.27461874246,5.803908025535203,,-19.28186601932051,19.778216576819407
ACES.JK,-0.0003413927977080468,"{'beta': array([0.039]), 'alpha': array([-0.])}",-0.21,,13.286810060951609,42.82583561131043,19.26407245121249,0.16359295913556243,,13.764516534276087,27.45987878787879
ACRO.JK,-0.021147204463747654,,-4.47,,,,0.0,0.0,,,0.0
ACST.JK,0.0008896782704431812,"{'beta': array([0.04]), 'alpha': array([0.001])}",0.3,,-19.418453960771302,-104.39354014137844,-1.3027626021286132,0.15742617668809705,,-480.6251135084087,116.06942205882353
ADCP.JK,-0.0016274733294199906,,-1.14,,73.36201841236274,5.996315642288585,8.505222713815492,0.3573890582278555,,6.764623718215897,2.2941176470588234
ADES.JK,0.0031032066650867884,"{'beta': array([0.025]), 'alpha': array([0.003])}",1.67,,-27.98823623773494,230.19102398455226,43.55078589281901,0.0020556510418153684,,19.384361063685212,0.11970074812967581
ADHI.JK,-0.0003338355441267433,"{'beta': array([0.008]), 'alpha': array([-0.])}",-0.18,,-6.095061098293558,2.851807813000404,104.4951201274929,2.1642779101030625,,0.4321509413401585,120.08363557046981
