,Average Daily Returns,beta,alpha,Sharpe Ratio,net_income,operating_cashflow,roa,op_revenue_v_net_income_margin,current_ratio,Revenue Growth,Earning per Share,Price to Earning,Debt to Equity,Free Cash Flow,Return on Equity,Dividend Yield,lt_debt_decreased_percent,percent_shares_outstanding,gross_margin
AALI.JK,-2.992250227229979e-05,[0.035],[-0.],-0.03,833090000000.0,,0.0299875120724492,17973953000000.0,0.30716554640793275,-22.67492030276398,432.8437198839821,15.941088395251413,0.2135743776992211,,4.442555984422978,129.82281157971016,,,
ABBA.JK,0.001393156250978238,[-0.047],[0.001],0.45,,,,203504123516.0,,-6.034068612093069,-11.406882837566759,-2.9806565460658887,-20.456808251051843,,458.9519356490645,0.0,,,
ABDA.JK,8.110466255270641e-05,[-0.006],[0.],0.07,138203753000.0,,0.055777212294535486,768990579000.0,0.4401298423048131,15.041350757227455,3906.9744951036932,1.279762641467486,0.0,,9.963071487005408,20.78679856,,,
ABMM.JK,0.001542013887819069,[0.138],[0.001],0.73,,,,642066803.0,0.8044706547213831,-40.65682896337879,-0.012952134461791592,-294160.00978366815,5.803908025535203,,-19.28186601932051,19.259103280839895,,,
ACES.JK,-0.0003413927977080468,[0.039],[-0.],-0.21,733195452445.0,,0.10159670007434124,6679571419857.0,0.2595536340590446,13.286810060951609,42.82583561131043,20.54834394795999,0.16359295913556243,,13.764516534276087,25.743636363636362,,,
ACRO.JK,-0.021147204463747654,,,-4.47,,,,,,,,0.0,0.0,,,0.0,,,
ACST.JK,0.0008896782704431812,[0.04],[0.001],0.3,,,,2527638000000.0,0.8939375589586744,-19.418453960771302,-104.39354014137844,-1.2931834653482557,0.15742617668809705,,-480.6251135084087,96.18845481481483,,72.14386459802539,
ADCP.JK,-0.0016274733294199906,,,-1.14,133251330455.0,,0.02849560239203509,843969679049.0,0.578753700894884,73.36201841236274,5.996315642288585,8.33845364099558,0.6072474738123146,,6.764623718215897,2.34,12.795435337502372,9.99999991,
ADES.JK,0.0031032066650867884,[0.025],[0.003],1.67,135789000000.0,,0.14162523427942064,537575000000.0,0.2693840472011106,-27.98823623773494,230.19102398455226,39.5323842019604,0.0020556510418153684,,19.384361063685212,0.13186813186813187,,,
ADHI.JK,-0.0003338355441267433,[0.008],[-0.],-0.18,23976887476.0,,0.0006294155923816186,10803705529729.0,0.8536560417338853,-6.095061098293558,2.851807813000404,102.3911915343219,2.176673304162443,,0.4321509413401585,122.55110753424658,,,
ADMF.JK,0.0008229426768669603,[-0.014],[0.001],0.8,1025573000000.0,,0.035111068552502955,6743565000000.0,0.7257581833350663,16.683928392274517,1025.573,13.090243210380928,2.0230014314215317,,12.802959439041839,95.18748603351955,26.024990171507312,,
ADMG.JK,0.0007223927827197915,[0.055],[0.001],0.39,,,,191380693.0,0.1787915663215984,-19.706240755979977,-0.00994244158266637,-13376.995871101914,0.0,,-22.917409815686398,0.0,,,
ADMR.JK,0.005883093898803724,,,1.82,,,,151589365.0,0.69698350351677,-73.20474247094037,-0.0006918746933244866,-1893406.4399803318,1.6457253919137433,,-10.985183454584142,0.0,22.907885477953638,,
