,Average Daily Returns,Beta Alpha,Sharpe Ratio,Piotroski F-Score,Revenue Growth,Earning per Share,Price to Earning,Debt to Equity,Free Cash Flow,Return on Equity,Dividend Yield
AALI.JK,-2.992250227229979e-05,"{'beta': array([0.035]), 'alpha': array([-0.])}",-0.03,"{'net_income': 833090000000.0, 'roa': 0.0299875120724492, 'op_revenue_v_net_income_margin': 17973953000000.0, 'current_ratio': 0.30716554640793275}",-22.67492030276398,432.8437198839821,15.47902786205572,0.2135743776992211,,4.442555984422978,133.69811938805972
ABBA.JK,0.001393156250978238,"{'beta': array([-0.047]), 'alpha': array([0.001])}",0.45,{'op_revenue_v_net_income_margin': 203504123516.0},-6.034068612093069,-11.406882837566759,-4.470984819098833,-20.456808251051843,,458.9519356490645,0.0
ABDA.JK,8.110466255270641e-05,"{'beta': array([-0.006]), 'alpha': array([0.])}",0.07,"{'net_income': 138203753000.0, 'roa': 0.055777212294535486, 'op_revenue_v_net_income_margin': 768990579000.0, 'current_ratio': 0.4401298423048131}",15.041350757227455,3906.9744951036932,1.279762641467486,0.0,,9.963071487005408,
ABMM.JK,0.001542013887819069,"{'beta': array([0.138]), 'alpha': array([0.001])}",0.73,"{'op_revenue_v_net_income_margin': 642066803.0, 'current_ratio': 0.8044706547213831}",-40.65682896337879,-0.012952134461791592,-282578.9070362796,5.803908025535203,,-19.28186601932051,20.048410792349728
ACES.JK,-0.0003413927977080468,"{'beta': array([0.039]), 'alpha': array([-0.])}",-0.21,"{'net_income': 733195452445.0, 'roa': 0.10159670007434124, 'op_revenue_v_net_income_margin': 6679571419857.0, 'current_ratio': 0.2595536340590446}",13.286810060951609,42.82583561131043,19.497576359712035,0.16359295913556243,,13.764516534276087,27.13101796407186
ACRO.JK,-0.021147204463747654,,-4.47,{},,,0.0,0.0,,,0.0
ACST.JK,0.0008896782704431812,"{'beta': array([0.04]), 'alpha': array([0.001])}",0.3,"{'op_revenue_v_net_income_margin': 2527638000000.0, 'current_ratio': 0.8939375589586744, 'percent_shares_outstanding': 72.14386459802539}",-19.418453960771302,-104.39354014137844,-1.3027626021286132,0.15742617668809705,,-480.6251135084087,116.06942205882353
ADCP.JK,-0.0016274733294199906,,-1.14,"{'net_income': 133251330455.0, 'roa': 0.02849560239203509, 'op_revenue_v_net_income_margin': 843969679049.0, 'lt_debt_decreased_percent': 12.795435337502372, 'current_ratio': 0.578753700894884, 'percent_shares_outstanding': 9.99999991}",73.36201841236274,5.996315642288585,8.33845364099558,0.6072474738123146,,6.764623718215897,2.34
ADES.JK,0.0031032066650867884,"{'beta': array([0.025]), 'alpha': array([0.003])}",1.67,"{'net_income': 135789000000.0, 'roa': 0.14162523427942064, 'op_revenue_v_net_income_margin': 537575000000.0, 'current_ratio': 0.2693840472011106}",-27.98823623773494,230.19102398455226,43.55078589281901,0.0020556510418153684,,19.384361063685212,0.11970074812967581
ADHI.JK,-0.0003338355441267433,"{'beta': array([0.008]), 'alpha': array([-0.])}",-0.18,"{'net_income': 23976887476.0, 'roa': 0.0006294155923816186, 'op_revenue_v_net_income_margin': 10803705529729.0, 'current_ratio': 0.8536560417338853}",-6.095061098293558,2.851807813000404,105.19642965854989,2.1642779101030625,,0.4321509413401585,119.283078
